CERCID,SITE,SELFGAME,DISTANT,PROXIM,DIEPUN,OMNI.BG,AGE,SEX,CHILDREN,FORMALED,HONSAL,DISSAL,HONBIN,DISBIN,HONDIS,TREATMENT,INGFIRST,gamecheck,gmcheck.imp,HADZA
CERC171,Inland Tanna,1,13,17,0.5,1,41,1,8,0,NA,NA,0,0,0,0,1,0,0,0
CERC172,Inland Tanna,1,19,11,NA,NA,60,1,5,0,NA,NA,0,0,0,0,0,0,0,0
CERC173,Inland Tanna,1,16,14,1,1,58,1,5,0,NA,NA,0,0,0,0,0,0,0,0
CERC174,Inland Tanna,1,17,13,1,1,25,1,0,0,NA,NA,0,0,0,0,1,0,0,0
CERC175,Inland Tanna,1,14,16,0.5,1,35,1,4,12,NA,NA,0,0,0,0,0,0,0,0
CERC176,Inland Tanna,1,19,11,1,1,55,1,0,0,NA,NA,0,0,0,0,1,0,0,0
CERC177,Inland Tanna,1,1,29,1,1,71,1,10,0,NA,NA,0,0,0,0,0,0,0,0
CERC178,Inland Tanna,1,19,11,1,1,20,1,0,1,NA,NA,0,0,0,0,1,0,0,0
CERC179,Inland Tanna,1,16,14,1,1,20,1,0,0,NA,NA,0,0,0,0,1,0,0,0
CERC18,Coastal Tanna,1,11,19,0.5,1,19,0,0,7,NA,NA,0,0,0,0,1,0,0,0
CERC180,Inland Tanna,1,15,15,NA,1,26,1,0,5,NA,NA,0,0,0,0,1,0,0,0
CERC181,Inland Tanna,1,14,16,1,1,33,1,1,0,NA,NA,0,0,0,0,1,0,0,0
CERC182,Inland Tanna,1,17,13,0.5,1,33,1,0,0,NA,NA,0,0,0,0,1,0,0,0
CERC183,Inland Tanna,1,4,26,1,1,21,1,1,1,NA,NA,0,0,0,0,1,0,0,0
CERC184,Inland Tanna,1,15,15,NA,NA,28,1,4,0,NA,NA,0,0,0,0,1,0,0,0
CERC185,Inland Tanna,1,13,17,NA,NA,19,1,0,6,NA,NA,0,0,0,0,1,0,0,0
CERC186,Inland Tanna,1,13,17,1,1,52,1,4,0,NA,NA,0,0,0,0,0,0,0,0
CERC187,Inland Tanna,1,16,14,1,1,47,1,8,0,NA,NA,0,0,0,0,0,0,0,0
CERC188,Inland Tanna,1,15,15,0.5,1,30,1,0,0,NA,NA,0,0,0,0,1,0,0,0
